ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
79,思明莲前西路莲前西路14-16号阳光百合,118.12019469549432,24.478980690535224,55027,468,85.05,3,2,2,南,21.0,1,满二年,高层,18.0,4,4,10,10,10
80,思明火车站厦禾路882-886号(双号)禹洲世贸国际,118.10865487479394,24.470646436329897,48602,318,65.43,2,1,1,东北,16.0,1,满二年,中层,41.0,2,3,10,10,10
81,集美集美新城杏北七里1-21号龙湖春江郦城(一期),118.04671903660586,24.586476789626513,34021,330,97,3,2,2,南北,9.0,1,满五年,低层,32.0,1,3,10,10,10
82,思明火车站金榜铁路家园1-50号金榜铁路家园,118.10665379465397,24.469073662425547,67290,396,58.85,4,2,2,南北,36.0,1,满五年,低层,7.0,2,1,10,10,10
83,同安环东海域美人山一里2-28号禹洲大学城,118.12300098411107,24.624599636226936,16984,116,68.3,2,2,1,南,12.0,0,满五年,高层,35.0,0,1,1,4,10
84,思明火车站厦禾路889-897号罗宾森璀璨新城(一期),118.10779688489272,24.471750095708455,58849,553,93.97,3,2,2,南北,12.0,1,满五年,中层,31.0,2,3,10,10,10
85,湖里市行政中心穆厝里7-11号特房五缘新座,118.15666879519094,24.516302435635136,62112,559,90,2,2,1,南,11.0,1,满二年,低层,25.0,0,4,10,10,10
86,思明禾祥西路湖滨南路138号希望大厦,118.09080196270187,24.471878581263038,54756,399,72.87,3,2,1,西南,25.0,1,满二年,中层,29.0,0,5,10,10,10
87,思明禾祥西路湖滨南路130-140号湖滨南路130-140号小区,118.09034097342246,24.4722805589686,45385,236,52,2,2,1,南北,34.0,1,,高层,7.0,0,5,10,10,10
88,"翔安隧道口浦园三里18-20,22,23,34号阳光城翡丽湾(一期南区公寓住宅)",118.22446711792799,24.560997655304977,22994,196,85.24,3,2,1,西南,9.0,0,,高层,31.0,1,0,0,4,3
89,思明会展中心文兴东五里1-18号明发国际新城,118.17415481445757,24.469750835413073,39023,530,135.82,3,2,2,南,23.0,1,满五年,中层,9.0,0,0,10,10,10
90,思明槟榔槟榔东里1-115号槟榔东里(单号区),118.10899454532269,24.48426509822245,53014,285,53.76,2,1,1,西南,26.0,1,满二年,高层,6.0,3,5,7,10,10
91,湖里金山金山西二里40-90号宏山新村,118.14568499446173,24.50705443449587,33824,253,74.8,2,2,1,南北,21.0,1,,高层,6.0,0,3,10,10,10
92,湖里嘉园路嘉园路10-20号世纪嘉园(西区),118.10517422158884,24.51838164677058,41524,218,52.5,2,1,1,南,20.0,1,满五年,中层,7.0,1,0,8,10,10
93,湖里南山华嘉路21-51号青翔花园,118.09520299306539,24.505463367005405,45299,500,110.38,3,2,2,南北,19.0,1,满二年,中层,6.0,0,2,7,10,10
94,集美集美新城九天湖二里1-11号中航城国际社区(C区东区),118.04477218874177,24.59732508924659,28421,279,98.17,3,2,2,南,9.0,1,满五年,高层,33.0,0,1,2,10,10
95,思明白鹭洲天湖路42号大正大厦,118.08525564191005,24.47170618148115,44950,465,103.45,3,1,1,东北,23.0,1,满五年,中层,21.0,0,3,10,10,10
96,同安城南同集中路1301-1307号阳光美郡,118.1274005775769,24.663296559645005,12539,110,87.73,2,2,1,南,12.0,0,满二年,高层,18.0,0,0,1,10,10
97,集美集美新城西亭北二路17-25号建发央著(一期),118.03762116669934,24.601829036531004,44772,426,95.15,3,2,1,南北,4.0,1,满二年,高层,39.0,0,1,3,10,10
98,集美集美新城杏北三里11-117号橡树湾(一二期),118.04156839865644,24.58288330012952,22285,199,89.3,2,2,1,南,10.0,1,满五年,低层,18.0,0,2,9,10,10
99,思明莲前东路西林西二里31-38号金沙花园,118.1325639750359,24.4773330489216,40019,608,151.93,4,2,2,南北,18.0,0,满五年,低层,9.0,1,3,10,10,10
100,"思明禾祥东路凤屿路21-17号,禾祥东路89-93号富城花园",118.1105439234909,24.475386609478704,65187,558,85.6,2,2,1,南,15.0,1,,高层,18.0,2,4,10,10,10
101,思明文灶文屏路37-55号领秀城,118.10669376212296,24.464194314752177,56427,885,156.84,4,2,2,东南,15.0,1,满二年,低层,32.0,1,0,10,10,10
102,集美杏东路宁海二里10-15号禹洲中央海岸(一期),118.06085026042592,24.56453635427997,27753,279,100.53,4,2,2,东南,8.0,1,满二年,中层,37.0,0,2,10,10,10
103,湖里五缘湾运动馆五缘东三里1-9号五缘公寓,118.1801534177041,24.526665996049235,40270,370,91.88,2,2,1,南北,16.0,1,,低层,30.0,1,2,0,10,10
104,思明东浦路东坪山路11-61号东坪山庄,118.11803919467548,24.470559664961925,65321,592,90.63,3,2,2,南北,18.0,1,满二年,高层,12.0,3,3,10,10,10
